respid,batch,arm,Y,ipw,state
1,1.0,8,1.0,11.0,Neighboring states
2,1.0,10,0.0,11.0,Neighboring states
3,1.0,5,1.0,11.0,Neighboring states
4,1.0,4,0.0,11.0,Neighboring states
5,1.0,9,1.0,11.0,Neighboring states
6,1.0,2,1.0,11.0,Neighboring states
7,1.0,4,1.0,11.0,Main state
8,1.0,5,1.0,11.0,Neighboring states
9,1.0,10,1.0,11.0,Neighboring states
10,1.0,4,1.0,11.0,Neighboring states
11,1.0,1,0.0,11.0,Neighboring states
12,1.0,6,1.0,11.0,Main state
13,1.0,6,1.0,11.0,Neighboring states
14,1.0,10,1.0,11.0,Neighboring states
15,1.0,3,1.0,11.0,Neighboring states
16,1.0,11,1.0,11.0,Neighboring states
17,1.0,1,1.0,11.0,Neighboring states
18,1.0,5,1.0,11.0,Neighboring states
19,1.0,10,0.0,11.0,Neighboring states
20,1.0,7,1.0,11.0,Neighboring states
21,1.0,8,0.0,11.0,Neighboring states
22,1.0,1,1.0,11.0,Neighboring states
23,1.0,8,1.0,11.0,Neighboring states
24,1.0,6,1.0,11.0,Neighboring states
25,1.0,5,1.0,11.0,Neighboring states
26,1.0,2,1.0,11.0,Neighboring states
27,1.0,8,1.0,11.0,Neighboring states
28,1.0,7,1.0,11.0,Neighboring states
29,1.0,10,0.0,11.0,Neighboring states
30,1.0,4,1.0,11.0,Neighboring states
31,1.0,1,1.0,11.0,Neighboring states
32,1.0,11,0.0,11.0,Neighboring states
33,1.0,1,0.0,11.0,Neighboring states
34,1.0,5,0.0,11.0,Neighboring states
35,1.0,2,1.0,11.0,Neighboring states
36,1.0,1,0.0,11.0,Neighboring states
37,1.0,6,1.0,11.0,Main state
38,1.0,10,1.0,11.0,Neighboring states
39,1.0,10,1.0,11.0,Neighboring states
40,1.0,1,1.0,11.0,Neighboring states
41,1.0,4,0.0,11.0,Neighboring states
42,1.0,8,1.0,11.0,Main state
43,1.0,5,1.0,11.0,Neighboring states
44,1.0,8,1.0,11.0,Neighboring states
45,1.0,7,1.0,11.0,Neighboring states
46,1.0,11,1.0,11.0,Neighboring states
47,1.0,5,1.0,11.0,Neighboring states
48,1.0,6,1.0,11.0,Neighboring states
49,1.0,5,1.0,11.0,Neighboring states
50,1.0,11,1.0,11.0,Neighboring states
51,1.0,4,0.0,11.0,Neighboring states
52,1.0,9,1.0,11.0,Neighboring states
53,1.0,11,1.0,11.0,Main state
54,1.0,3,0.0,11.0,Neighboring states
55,1.0,7,1.0,11.0,Neighboring states
56,1.0,4,1.0,11.0,Neighboring states
57,1.0,5,1.0,11.0,Neighboring states
